Código Departamento;Departamento;Código Entidad;Entidad;Dimensión;Subcategoría;Indicador;Dato Numérico;Dato Cualitativo;Año;Mes;Fuente;Unidad de Medida
5;Antioquia;5000;Antioquia;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;95,18;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5001;Medellín;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;100;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5002;Abejorral;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,07;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5004;Abriaquí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;85,12;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5021;Alejandría;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,42;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5030;Amagá;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,98;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5031;Amalfi;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;85,11;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5034;Andes;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,24;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5036;Angelópolis;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;98,28;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5038;Angostura;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;97,6;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
5;Antioquia;5040;Anorí;Vivienda y acceso a servicios públicos;Vivienda y acceso a servicios públicos;Cobertura de energía eléctrica rural;74,29;;2018;12;UPME;Porcentaje (el valor está multiplicado por 100)
